transaction_id,customer_id,date,amount,type,merchant
T00228,C0004,2023-05-30,21942,Credit,ATM Withdrawal
T00229,C0192,2024-08-16,63665,Credit,Electric Bill
T00230,C0163,2023-07-07,16312,Debit,Salary
T00231,C0013,2023-10-09,37850,Credit,Swiggy
T00232,C0156,2024-03-08,68754,Credit,Swiggy
T00233,C0199,2023-09-04,15215,Debit,Amazon
T00234,C0131,2024-05-23,32356,Credit,ATM Withdrawal
T00235,C0148,2023-07-17,9652,Credit,Salary
T00236,C0058,2024-07-19,19805,Credit,Salary
T00237,C0149,2023-09-29,58925,Credit,Electric Bill
T00238,C0031,2023-06-23,13263,Debit,Flipkart
T00239,C0104,2024-09-20,10950,Debit,Flipkart
T00240,C0192,2024-11-20,59817,Credit,Salary
T00241,C0123,2024-03-23,10151,Credit,Amazon
T00242,C0126,2024-03-07,2366,Debit,Flipkart
T00243,C0102,2024-02-16,2735,Debit,ATM Withdrawal
T00244,C0097,2023-07-15,79542,Credit,Flipkart
T00245,C0116,2023-03-17,40203,Credit,Rent
T00246,C0023,2024-04-06,18294,Debit,Rent
T00247,C0123,2024-08-14,54211,Credit,Amazon
T00248,C0199,2024-01-04,63301,Credit,Amazon
T00249,C0095,2024-02-10,24609,Credit,Zomato
T00250,C0064,2023-09-25,49409,Credit,Salary
T00251,C0099,2023-08-02,47635,Credit,Salary
T00252,C0157,2023-10-06,67398,Credit,Amazon
T00253,C0146,2023-12-02,4422,Debit,Amazon
T00254,C0199,2023-11-12,10323,Debit,Salary
T00255,C0059,2024-07-04,73005,Credit,Flipkart
T00256,C0158,2023-08-29,33521,Credit,Amazon
T00257,C0181,2023-08-23,8886,Debit,Swiggy
T00258,C0151,2023-04-10,15151,Debit,Swiggy
T00259,C0054,2023-08-02,16648,Debit,Swiggy
T00260,C0082,2023-08-09,10223,Debit,Salary
T00261,C0008,2024-06-09,35768,Credit,Salary
T00262,C0119,2024-01-28,7478,Debit,ATM Withdrawal
T00263,C0193,2024-06-09,35533,Credit,Electric Bill
T00264,C0070,2023-02-15,32071,Credit,Rent
T00265,C0182,2023-09-27,4316,Debit,Rent
T00266,C0169,2024-04-10,14290,Debit,Rent
T00267,C0183,2023-06-13,19932,Debit,Zomato
T00268,C0018,2024-09-24,46221,Credit,Zomato
T00269,C0096,2024-03-31,421,Debit,Rent
T00270,C0006,2023-04-05,50785,Credit,Swiggy
T00271,C0044,2024-03-15,15727,Debit,Electric Bill
T00272,C0170,2024-05-11,61800,Credit,Electric Bill
T00273,C0155,2023-12-15,12200,Debit,Electric Bill
T00274,C0181,2024-10-15,2470,Debit,Rent
T00275,C0136,2023-12-15,76143,Credit,Electric Bill
T00276,C0175,2024-02-10,11846,Debit,Rent
T00277,C0036,2023-12-24,15826,Credit,Flipkart
T00278,C0106,2023-02-13,39913,Credit,Amazon
T00279,C0093,2023-10-22,30764,Credit,Zomato
T00280,C0119,2023-10-13,11642,Debit,Rent
T00281,C0102,2023-05-30,9370,Debit,ATM Withdrawal
T00282,C0126,2023-06-08,1198,Debit,Rent
T00283,C0174,2024-11-24,15910,Credit,Flipkart
T00284,C0092,2023-05-07,59539,Credit,Flipkart
T00285,C0198,2023-09-12,39456,Credit,Swiggy
T00286,C0134,2024-10-13,5965,Debit,Flipkart
T00287,C0101,2024-09-06,14140,Debit,ATM Withdrawal
T00288,C0110,2024-03-06,19035,Credit,Rent
T00289,C0044,2024-02-25,10559,Credit,Zomato
T00290,C0083,2023-06-02,5139,Debit,Amazon
T00291,C0165,2023-11-01,36126,Credit,Swiggy
T00292,C0131,2024-05-08,28635,Credit,Flipkart
T00293,C0160,2024-05-23,17061,Credit,Electric Bill
T00294,C0105,2023-06-26,14846,Debit,Salary
T00295,C0077,2023-06-08,19341,Debit,Zomato
T00296,C0195,2023-09-06,9261,Credit,Zomato
T00297,C0014,2024-03-26,25158,Credit,Electric Bill
T00298,C0176,2023-03-31,10445,Debit,Zomato
T00299,C0195,2023-12-18,9217,Debit,Zomato
T00300,C0158,2023-06-22,47501,Credit,Zomato
T00301,C0040,2023-05-06,60888,Credit,Swiggy
T00302,C0082,2024-07-10,14842,Debit,Flipkart
T00303,C0067,2024-03-29,4930,Debit,Flipkart
T00304,C0159,2024-01-07,6081,Credit,Zomato
T00305,C0056,2023-09-07,52377,Credit,Electric Bill
T00306,C0152,2024-03-26,19361,Credit,Flipkart
T00307,C0083,2023-02-28,45174,Credit,Flipkart
T00308,C0021,2024-02-06,8671,Debit,Rent
T00309,C0084,2024-03-23,30052,Credit,ATM Withdrawal
T00310,C0022,2023-01-08,15324,Credit,Rent
T00311,C0006,2024-03-24,58309,Credit,Amazon
T00312,C0105,2023-04-01,976,Debit,Swiggy
T00313,C0055,2023-01-15,76183,Credit,Electric Bill
T00314,C0128,2024-02-17,18251,Debit,Electric Bill
T00315,C0065,2023-05-17,37786,Credit,Salary
T00316,C0149,2023-01-18,6917,Debit,Flipkart
T00317,C0167,2024-06-16,62645,Credit,Swiggy
T00318,C0101,2023-03-29,1430,Debit,Flipkart
T00319,C0156,2024-07-21,6992,Debit,Flipkart
T00320,C0019,2023-10-11,7970,Debit,Amazon
T00321,C0174,2023-07-17,63644,Credit,Zomato
T00322,C0109,2024-11-24,39053,Credit,Salary
T00323,C0147,2024-07-17,16720,Debit,Rent
T00324,C0019,2023-03-28,51881,Credit,Swiggy
T00325,C0190,2023-04-03,12502,Debit,Salary
T00326,C0175,2024-06-15,15994,Debit,Swiggy
T00327,C0105,2023-06-14,44010,Credit,Electric Bill
T00328,C0069,2023-06-27,12525,Debit,Flipkart
T00329,C0122,2024-09-08,12515,Credit,Swiggy
T00330,C0153,2023-11-17,14330,Debit,ATM Withdrawal
T00331,C0068,2023-11-11,24437,Credit,Amazon
T00332,C0127,2023-09-28,6034,Debit,Rent
T00333,C0073,2023-07-03,15444,Debit,Zomato
T00334,C0118,2023-09-10,19159,Credit,ATM Withdrawal
T00335,C0023,2024-04-27,12107,Debit,Rent
T00336,C0025,2024-11-18,18245,Debit,Flipkart
T00337,C0177,2023-05-28,72815,Credit,Swiggy
T00338,C0010,2024-11-18,1817,Debit,Rent
T00339,C0054,2024-09-10,11250,Debit,ATM Withdrawal
T00340,C0162,2023-10-20,18128,Debit,ATM Withdrawal
T00341,C0194,2024-05-05,75834,Credit,Rent
T00342,C0032,2024-03-03,15822,Debit,Swiggy
T00343,C0007,2023-11-11,52605,Credit,ATM Withdrawal
T00344,C0188,2023-08-14,19793,Debit,Electric Bill
T00345,C0115,2024-01-20,15128,Debit,Rent
T00346,C0007,2024-09-28,79005,Credit,ATM Withdrawal
T00347,C0092,2024-09-11,48760,Credit,Electric Bill
T00348,C0012,2023-07-09,9317,Debit,ATM Withdrawal
T00349,C0035,2023-10-31,15299,Debit,Rent
T00350,C0007,2023-11-01,8259,Debit,Electric Bill
T00351,C0083,2024-08-30,50254,Credit,ATM Withdrawal
T00352,C0156,2024-07-01,3353,Debit,ATM Withdrawal
T00353,C0091,2024-04-27,10358,Credit,Amazon
T00354,C0012,2023-08-10,17441,Debit,Swiggy
T00355,C0101,2024-03-01,17386,Debit,Swiggy
T00356,C0164,2024-11-17,50639,Credit,Zomato
T00357,C0124,2024-07-17,69180,Credit,Swiggy
T00358,C0114,2023-07-14,6205,Credit,Amazon
T00359,C0145,2023-12-06,16685,Credit,Salary
T00360,C0169,2024-03-30,5052,Debit,Salary
T00361,C0191,2024-04-18,14319,Debit,Electric Bill
T00362,C0044,2024-08-02,1796,Debit,Zomato
T00363,C0019,2024-04-14,73221,Credit,Swiggy
T00364,C0082,2023-11-29,65608,Credit,Swiggy
T00365,C0037,2024-11-09,6676,Debit,Flipkart
T00366,C0133,2023-06-14,14472,Credit,Salary
T00367,C0137,2023-02-23,61540,Credit,Flipkart
T00368,C0164,2024-04-03,34076,Credit,Electric Bill
T00369,C0192,2023-01-27,11212,Credit,Flipkart
T00370,C0090,2023-12-11,5059,Debit,Swiggy
T00371,C0149,2024-05-20,18800,Debit,Electric Bill
T00372,C0173,2023-04-19,19515,Credit,Salary
T00373,C0008,2024-06-30,6661,Debit,Rent
T00374,C0050,2024-01-05,12429,Debit,Swiggy
T00375,C0065,2023-01-27,16597,Debit,Swiggy
T00376,C0167,2023-11-05,27955,Credit,Salary
T00377,C0036,2023-08-15,11061,Debit,ATM Withdrawal
T00378,C0131,2023-04-29,12202,Debit,Salary
T00379,C0176,2023-06-01,5004,Debit,Swiggy
T00380,C0150,2023-01-29,23732,Credit,Zomato
T00381,C0133,2024-02-08,7308,Debit,Flipkart
T00382,C0024,2024-11-11,21034,Credit,Swiggy
T00383,C0180,2023-04-19,1903,Debit,ATM Withdrawal
T00384,C0048,2023-09-23,41538,Credit,Zomato
T00385,C0060,2023-09-01,9438,Debit,Swiggy
T00386,C0109,2023-11-28,30126,Credit,ATM Withdrawal
T00387,C0063,2023-03-02,66190,Credit,ATM Withdrawal
T00388,C0071,2023-02-19,17743,Debit,Rent
T00389,C0130,2024-07-09,3577,Debit,Swiggy
T00390,C0144,2023-10-24,14196,Debit,ATM Withdrawal
T00391,C0010,2023-03-23,21890,Credit,Swiggy
T00392,C0071,2023-06-12,32281,Credit,Electric Bill
T00393,C0043,2024-03-10,17369,Debit,Zomato
T00394,C0177,2023-01-22,3809,Debit,Amazon
T00395,C0078,2023-12-06,39350,Credit,Swiggy
T00396,C0127,2023-10-19,16074,Debit,Salary
T00397,C0172,2023-07-03,12014,Credit,Rent
T00398,C0031,2023-03-30,63109,Credit,ATM Withdrawal
T00399,C0150,2023-02-04,72516,Credit,Electric Bill
T00400,C0097,2023-09-11,13651,Credit,ATM Withdrawal
T00401,C0165,2023-11-01,32922,Credit,Electric Bill
T00402,C0198,2023-05-27,6493,Debit,Amazon
T00403,C0142,2024-06-02,17962,Credit,Swiggy
T00404,C0062,2023-06-20,49553,Credit,Zomato
T00405,C0060,2023-08-07,16767,Debit,Flipkart
T00406,C0039,2023-04-15,49978,Credit,Electric Bill
T00407,C0059,2023-02-12,155,Debit,Swiggy
T00408,C0139,2023-05-04,6536,Credit,Swiggy
T00409,C0023,2023-03-28,74034,Credit,Rent
T00410,C0017,2024-01-28,54544,Credit,Flipkart
T00411,C0090,2024-08-28,13440,Debit,Salary
T00412,C0178,2024-01-19,32045,Credit,Zomato
T00413,C0062,2023-01-17,16062,Debit,Flipkart
T00414,C0113,2024-06-18,11552,Debit,Rent
T00415,C0021,2024-01-15,23896,Credit,Electric Bill
T00416,C0011,2024-10-15,58189,Credit,ATM Withdrawal
T00417,C0170,2023-09-24,6499,Credit,Zomato
T00418,C0066,2024-02-22,18764,Debit,Rent
T00419,C0084,2023-10-28,18745,Debit,Flipkart
T00420,C0106,2024-04-27,9915,Debit,Flipkart
T00421,C0055,2023-03-15,27156,Credit,Amazon
T00422,C0004,2023-09-08,14391,Debit,Amazon
T00423,C0042,2023-01-06,57289,Credit,Flipkart
T00424,C0025,2024-09-14,6901,Debit,Zomato
T00425,C0193,2024-06-25,18998,Debit,Rent
T00426,C0140,2024-03-02,79531,Credit,Zomato
T00427,C0031,2024-06-27,16075,Debit,Electric Bill
T00428,C0030,2024-09-02,18350,Credit,Amazon
T00429,C0197,2023-05-06,68701,Credit,Rent
T00430,C0015,2024-11-28,5229,Credit,ATM Withdrawal
T00431,C0013,2024-08-12,12722,Credit,Zomato
T00432,C0169,2023-10-02,3548,Debit,ATM Withdrawal
T00433,C0177,2023-02-27,13295,Debit,Swiggy
T00434,C0051,2023-02-23,70557,Credit,Electric Bill
T00435,C0150,2023-04-04,45041,Credit,Flipkart
T00436,C0170,2023-08-28,2072,Debit,Rent
T00437,C0096,2024-03-26,5833,Debit,Amazon
T00438,C0074,2024-04-10,69606,Credit,Electric Bill
T00439,C0117,2023-12-12,60814,Credit,Electric Bill
T00440,C0076,2024-08-18,42498,Credit,Rent
T00441,C0167,2023-05-17,15270,Debit,ATM Withdrawal
T00442,C0153,2023-06-07,76166,Credit,Amazon
T00443,C0154,2023-08-23,5366,Debit,Swiggy
T00444,C0132,2024-11-05,1820,Debit,Rent
T00445,C0055,2023-12-02,32702,Credit,Zomato
T00446,C0059,2024-11-04,15778,Credit,Zomato
T00447,C0044,2024-10-21,18229,Debit,Electric Bill
T00448,C0122,2024-08-21,64839,Credit,Zomato
T00449,C0123,2023-10-12,19327,Debit,Zomato
T00450,C0048,2023-05-25,14979,Credit,Salary
T00451,C0096,2023-08-08,13486,Debit,Rent
T00452,C0187,2024-06-18,811,Debit,Amazon
T00453,C0161,2023-04-25,939,Debit,Rent
T00454,C0051,2024-09-22,59531,Credit,ATM Withdrawal
T00455,C0059,2024-08-22,8552,Debit,ATM Withdrawal
T00456,C0169,2024-02-25,11706,Debit,Salary
T00457,C0093,2024-07-01,78205,Credit,Salary
T00458,C0127,2023-01-22,4596,Debit,Zomato
T00459,C0119,2024-04-15,63869,Credit,Flipkart
T00460,C0154,2023-07-05,14727,Credit,Swiggy
T00461,C0164,2023-04-25,19085,Debit,Rent
T00462,C0166,2023-11-09,67481,Credit,Zomato
T00463,C0033,2023-09-24,15462,Debit,Salary
T00464,C0049,2023-01-01,13538,Debit,Flipkart
T00465,C0164,2023-02-11,30483,Credit,Flipkart
T00466,C0075,2024-01-12,17548,Debit,Amazon
T00467,C0028,2024-08-20,1707,Debit,Electric Bill
T00468,C0166,2024-08-22,27773,Credit,Swiggy
T00469,C0137,2024-07-16,37722,Credit,Flipkart
T00470,C0071,2023-11-19,3716,Debit,Rent
T00471,C0023,2024-06-17,14947,Credit,Electric Bill
T00472,C0139,2024-06-15,46223,Credit,Amazon
T00473,C0174,2024-06-28,51822,Credit,Rent
T00474,C0142,2023-08-26,69151,Credit,Flipkart
T00475,C0073,2024-03-29,36365,Credit,Amazon
T00476,C0003,2024-01-07,24250,Credit,Swiggy
T00477,C0106,2023-04-04,13111,Debit,Electric Bill
T00478,C0129,2023-06-30,10773,Credit,Flipkart
T00479,C0098,2023-04-08,15829,Debit,Rent
T00480,C0132,2023-01-22,5800,Debit,Flipkart
T00481,C0197,2023-03-18,41544,Credit,Amazon
T00482,C0114,2023-05-03,20582,Credit,Amazon
T00483,C0148,2024-04-16,55800,Credit,Flipkart
T00484,C0093,2024-08-25,2905,Debit,ATM Withdrawal
T00485,C0121,2024-11-27,7201,Debit,Electric Bill
T00486,C0096,2023-04-23,11932,Debit,Electric Bill
T00487,C0060,2024-03-04,38012,Credit,Flipkart
T00488,C0081,2023-05-21,16748,Debit,Zomato
T00489,C0131,2023-02-13,13160,Debit,Zomato
T00490,C0177,2023-10-09,60273,Credit,Zomato
T00491,C0010,2024-03-28,19113,Credit,Rent
T00492,C0084,2024-04-17,8254,Debit,ATM Withdrawal
T00493,C0137,2023-05-03,6660,Debit,Rent
T00494,C0130,2023-06-06,37620,Credit,Rent
T00495,C0129,2023-04-13,6909,Debit,Salary
T00496,C0166,2023-09-28,8734,Debit,Flipkart
T00497,C0098,2023-02-15,9014,Credit,Electric Bill
T00498,C0096,2023-02-21,7519,Debit,Rent
T00499,C0006,2023-10-01,45949,Credit,Zomato
T00500,C0042,2023-02-13,355,Debit,Zomato
